 ,Mean(before_f1_bg)
1038,57.456
1039,57.049
1040,54.248
1041,55.467
1042,65.475
1043,65.221
1044,66.857
1045,63.304
1046,67.991
1047,67.157
1048,66.433
1049,69.904
1050,66.825
1051,66.438
1052,66.343
1053,67.482
1054,70.085
1055,66.117
1056,66.003
1057,68.047
1058,72.160
1059,70.666
1060,68.494
1061,69.993
1062,74.742
1063,71.642
1064,69.338
1065,61.731
1066,60.738
1067,64.033
1068,66.417
1069,67.858
1070,61.494
1071,64.531
1072,62.331
1073,67.893
1074,72.775
1075,76.694
1076,67.598
1077,67.981
1078,65.860
1079,64.231
1080,62.836
1081,63.479
1082,64.016
1083,59.804
1084,60.248
1085,64.070
1086,62.751
1087,67.775
1088,69.319
1089,64.926
1090,58.780
1091,62.116
1092,64.278
1093,59.397
1094,61.169
1095,62.609
1096,61.515
1097,60.155
1098,61.506
1099,54.952
1100,62.739
1101,58.501
1102,55.873
1103,61.576
1104,61.368
1105,57.982
1106,61.527
1107,57.266
1108,57.845
1109,59.913
1110,58.391
1111,59.984
1112,54.206
1113,57.626
1114,59.876
1115,57.936
1116,60.485
1117,56.253
1118,56.232
1119,57.469
1120,61.609
1121,61.593
1122,59.477
1123,57.888
1124,56.847
1125,55.743
1126,59.147
1127,58.684
1128,58.051
1129,57.019
1130,60.084
1131,56.587
1132,60.156
1133,59.263
1134,59.176
1135,60.527
1136,55.718
1137,59.315
1138,58.804
1139,59.430
1140,62.289
1141,56.915
1142,56.858
1143,61.259
1144,57.333
1145,60.400
1146,57.987
1147,54.865
1148,52.872
1149,61.729
1150,54.488
1151,55.012
1152,55.618
1153,57.289
1154,57.737
1155,60.403
1156,59.015
1157,56.843
1158,55.031
1159,60.125
1160,56.504
1161,53.785
1162,57.429
1163,57.952
1164,58.194
1165,64.073
1166,59.025
1167,57.968
1168,59.218
1169,59.577
1170,56.062
1171,59.143
1172,60.201
1173,62.057
1174,61.047
1175,58.749
1176,59.267
1177,60.350
1178,57.242
1179,57.439
1180,54.286
1181,52.876
1182,60.919
1183,53.483
1184,55.427
1185,59.039
1186,58.570
1187,58.470
1188,59.444
1189,58.701
1190,64.033
1191,59.893
1192,56.280
1193,54.613
1194,55.276
1195,54.016
1196,58.193
1197,60.220
1198,54.987
1199,59.525
1200,58.215
1201,57.933
1202,62.051
1203,61.453
1204,63.307
1205,62.454
1206,58.680
1207,56.963
1208,57.424
1209,59.817
1210,56.731
1211,55.336
1212,57.699
1213,58.088
1214,53.198
1215,59.469
1216,61.742
1217,59.488
1218,58.988
1219,60.481
1220,62.478
1221,58.605
1222,60.153
1223,62.754
1224,57.959
1225,54.294
1226,56.725
1227,57.220
1228,63.365
1229,62.770
1230,55.360
1231,57.519
1232,58.608
1233,63.439
1234,55.802
1235,60.228
1236,59.834
1237,57.878
1238,61.000
1239,56.350
1240,58.853
1241,60.298
1242,58.297
1243,57.704
1244,61.589
1245,55.663
1246,58.211
1247,61.790
1248,55.694
1249,58.671
1250,60.435
1251,55.807
1252,57.083
1253,59.294
1254,57.064
1255,62.338
1256,57.123
1257,53.654
1258,66.987
1259,54.000
1260,58.410
1261,58.041
1262,56.979
1263,56.176
1264,57.758
1265,55.730
1266,62.500
1267,60.547
1268,58.527
1269,65.421
